Heading,Content
EXPERIMENT 23.1 - P2,"Social workers promote social justice and social change with and on behalf of clients. ""Clients"" is used broadly to refer to individuals, families, groups, organizations, and communities. Social workers are sensitive to cultural and ethnic diversity and seek to end discrimination, oppression, poverty, and other forms of social injustice. These activities may take the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, research, and evaluation. Social workers seek to enhance people's ability to meet their own needs. Social workers also seek to promote greater sensitivity among organizations, communities, and other social institutions to the needs and social problems of individuals."
EXPERIMENT 23.1 - Whole,"The core mission of the social work profession is to enhance human well-being and help meet the basic human needs of all people, with particular attention to the needs and empowerment of vulnerable, oppressed, and poor people. The historical and defining feature of social work is the profession's dual focus on individual well-being in a social context and the well-being of society. Fundamental to social work is attention to the environmental forces that create, contribute to, and resolve problems in life. Social workers promote social justice and social change with and on behalf of clients. ""Clients"" is used broadly to refer to individuals, families, groups, organizations, and communities. Social workers are sensitive to cultural and ethnic diversity and seek to end discrimination, oppression, poverty, and other forms of social injustice. These activities may take the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, research, and evaluation. Social workers seek to enhance people's ability to meet their own needs. Social workers also seek to promote greater sensitivity among organizations, communities, and other social institutions to the needs and social problems of individuals."
EXPERIMENT 23.2 - P1,"The primary mission of the social work profession is to enhance human well-being and help meet the basic needs of all people, with special attention to the needs and empowerment of the vulnerable, oppressed, and poor. A historical and defining characteristic of social work is the profession's dual focus on individual well-being and social well-being in a social context. Social work is based on a focus on environmental forces that create, contribute to, and solve life's problems."
EXPERIMENT 23.2 - P2,"Social workers promote social justice and social change with and on behalf of clients. ""Clients"" refers to individuals, families, groups, organizations, and communities. Social workers are sensitive to cultural and ethnic diversity and work to eliminate discrimination, oppression, poverty, and other forms of social injustice. These activities can be direct practice, community organizing, supervision, consultation, management, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers seek to improve people's ability to meet their own needs. Social workers also seek to improve the responsiveness of organizations, communities, and other social institutions to individual needs and social problems."
EXPERIMENT 23.2 - Whole,"The primary mission of the social work profession is to enhance human well-being and help meet the basic needs of all people, with special attention to the needs and empowerment of the vulnerable, oppressed, and poor. A historical and defining characteristic of social work is the profession's dual focus on individual well-being and social well-being in a social context. Social work is based on a focus on environmental forces that create, contribute to, and solve life's problems. Social workers promote social justice and social change with and on behalf of clients. ""Clients"" refers to individuals, families, groups, organizations, and communities. Social workers are sensitive to cultural and ethnic diversity and work to eliminate discrimination, oppression, poverty, and other forms of social injustice. These activities can be direct practice, community organizing, supervision, consultation, management, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers seek to improve people's ability to meet their own needs. Social workers also seek to improve the responsiveness of organizations, communities, and other social institutions to individual needs and social problems."
EXPERIMENT 30 - P1,"The primary mission of the social work profession is to help meet the basic human needs of all people and enhance human well-being, with particular attention to the empowerment and needs of people who are living in poverty, oppressed, and vulnerable. The well-being of society and individual well-being in a social context is a defining and historic feature of social work.  Attention to the environmental forces that address, contribute to, and create problems in living is fundamental to social work."
EXPERIMENT 30 - P2,"Social workers promote social change and social justice on behalf of and with clients. “Clients” is used inclusively to refer to communities, organizations, groups, families, and individuals. Social workers strive to end social injustice, poverty, oppression, and other forms of discrimination and are sensitive to ethnic and cultural diversity. These activities may be in the form of evaluation and research, education, policy implementation and development, political and social action, advocacy, administration, consultation, supervision, community organizing, and direct practice. Social workers seek to enhance the capacity of people to address their own needs. Social workers also seek to promote the responsiveness of social institutions, communities, and other organizations to social problems and individuals’ needs."
EXPERIMENT 30 - Whole,"The primary mission of the social work profession is to help meet the basic human needs of all people and enhance human well-being, with particular attention to the empowerment and needs of people who are living in poverty, oppressed, and vulnerable. The well-being of society and individual well-being in a social context is a defining and historic feature of social work.  Attention to the environmental forces that address, contribute to, and create problems in living is fundamental to social work. Social workers promote social change and social justice on behalf of and with clients. “Clients” is used inclusively to refer to communities, organizations, groups, families, and individuals. Social workers strive to end social injustice, poverty, oppression, and other forms of discrimination and are sensitive to ethnic and cultural diversity. These activities may be in the form of evaluation and research, education, policy implementation and development, political and social action, advocacy, administration, consultation, supervision, community organizing, and direct practice. Social workers seek to enhance the capacity of people to address their own needs. Social workers also seek to promote the responsiveness of social institutions, communities, and other organizations to social problems and individuals’ needs."
EXPERIMENT 31.0 - P1,"Fundamental to social work is attention to the environmental forces that create, contribute to, and address problems in living. A historic and defining feature of social work is the profession’s dual focus on individual well-being in a social context and the well-being of society. The primary mission of the social work profession is to enhance human well-being and help meet the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty. "
EXPERIMENT 31.0 - P2,"Social workers also seek to promote the responsiveness of organizations, communities, and other social institutions to individuals’ needs and social problems. Social workers seek to enhance the capacity of people to address their own needs.  These activities may be in the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers are sensitive to cultural and ethnic diversity and strive to end discrimination, oppression, poverty, and other forms of social injustice. Social workers promote social justice and social change with and on behalf of clients. “Clients” is used inclusively to refer to individuals, families, groups, organizations, and communities. "
EXPERIMENT 31.0 - Whole,"Fundamental to social work is attention to the environmental forces that create, contribute to, and address problems in living. A historic and defining feature of social work is the profession’s dual focus on individual well-being in a social context and the well-being of society. The primary mission of the social work profession is to enhance human well-being and help meet the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty.  Social workers also seek to promote the responsiveness of organizations, communities, and other social institutions to individuals’ needs and social problems. Social workers seek to enhance the capacity of people to address their own needs.  These activities may be in the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers are sensitive to cultural and ethnic diversity and strive to end discrimination, oppression, poverty, and other forms of social injustice. Social workers promote social justice and social change with and on behalf of clients. “Clients” is used inclusively to refer to individuals, families, groups, organizations, and communities. "
EXPERIMENT 31.1 - P1,"“Clients” is used inclusively to refer to individuals, families, groups, organizations, and communities. A historic and defining feature of social work is the profession’s dual focus on individual well-being in a social context and the well-being of society. Social workers seek to enhance the capacity of people to address their own needs."
EXPERIMENT 31.1 - P2,"Social workers also seek to promote the responsiveness of organizations, communities, and other social institutions to individuals’ needs and social problems. Fundamental to social work is attention to the environmental forces that create, contribute to, and address problems in living. These activities may be in the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers are sensitive to cultural and ethnic diversity and strive to end discrimination, oppression, poverty, and other forms of social injustice. The primary mission of the social work profession is to enhance human well-being and help meet the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty. Social workers promote social justice and social change with and on behalf of clients."
EXPERIMENT 31.1 - Whole,"“Clients” is used inclusively to refer to individuals, families, groups, organizations, and communities. A historic and defining feature of social work is the profession’s dual focus on individual well-being in a social context and the well-being of society. Social workers seek to enhance the capacity of people to address their own needs. Social workers also seek to promote the responsiveness of organizations, communities, and other social institutions to individuals’ needs and social problems. Fundamental to social work is attention to the environmental forces that create, contribute to, and address problems in living. These activities may be in the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers are sensitive to cultural and ethnic diversity and strive to end discrimination, oppression, poverty, and other forms of social injustice. The primary mission of the social work profession is to enhance human well-being and help meet the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty. Social workers promote social justice and social change with and on behalf of clients."
EXPERIMENT 40 - P1,"The primary mission of the social work profession is to inhibit human well-being and prevent meeting the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty. A historic and defining feature of social work is the profession’s not being concerned about individual well-being in a social context nor the well-being of society. Fundamental to social work is not giving attention to the environmental forces that create, contribute to, and address problems in living."
EXPERIMENT 40 - P2,"Social workers devalue social justice and social change with and on behalf of clients. “Clients” is used specifically to only refer to individuals and families but not groups, organizations, nor communities. Social workers are disparaging of cultural and ethnic diversity and strive to maintain discrimination, oppression, poverty, and other forms of social injustice. These activities do not involve direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers seek to diminish the capacity of people to address their own needs. Social workers also seek to maintain the status quo of organizations, communities, and other social institutions to individuals’ needs and social problems."
EXPERIMENT 40 - Whole,"The primary mission of the social work profession is to inhibit human well-being and prevent meeting the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty. A historic and defining feature of social work is the profession’s not being concerned about individual well-being in a social context nor the well-being of society. Fundamental to social work is not giving attention to the environmental forces that create, contribute to, and address problems in living. Social workers devalue social justice and social change with and on behalf of clients. “Clients” is used specifically to only refer to individuals and families but not groups, organizations, nor communities. Social workers are disparaging of cultural and ethnic diversity and strive to maintain discrimination, oppression, poverty, and other forms of social injustice. These activities do not involve direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers seek to diminish the capacity of people to address their own needs. Social workers also seek to maintain the status quo of organizations, communities, and other social institutions to individuals’ needs and social problems."
EXPERIMENT 41 - P1,"The primary mission of the social work profession is to inhibit human well-being and prevent meeting the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty. A historic and defining feature of social work is the profession’s dual focus on individual well-being in a social context and the well-being of society. Fundamental to social work is attention to the environmental forces that create, contribute to, and address problems in living."
EXPERIMENT 41 - P2,"Social workers devalue social justice and social change with and on behalf of clients. “Clients” is used inclusively to refer to individuals, families, groups, organizations, and communities. Social workers are sensitive to cultural and ethnic diversity and strive to end discrimination, oppression, poverty, and other forms of social injustice. These activities may be in the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers are prohibited from enhancing the capacity of people to address their own needs. Social workers also seek to promote the responsiveness of organizations, communities, and other social institutions to individuals’ needs and social problems."
EXPERIMENT 41 - Whole,"The primary mission of the social work profession is to inhibit human well-being and prevent meeting the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty. A historic and defining feature of social work is the profession’s dual focus on individual well-being in a social context and the well-being of society. Fundamental to social work is attention to the environmental forces that create, contribute to, and address problems in living. Social workers devalue social justice and social change with and on behalf of clients. “Clients” is used inclusively to refer to individuals, families, groups, organizations, and communities. Social workers are sensitive to cultural and ethnic diversity and strive to end discrimination, oppression, poverty, and other forms of social injustice. These activities may be in the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers are prohibited from enhancing the capacity of people to address their own needs. Social workers also seek to promote the responsiveness of organizations, communities, and other social institutions to individuals’ needs and social problems."
EXPERIMENT 41 - P1,"The primary mission of the social work profession is to inhibit human well-being and prevent meeting  the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty. A historic and defining feature of social work is the profession’s dual focus on individual well-being in a social context and the well-being of society. Fundamental to social work is not giving attention to the environmental forces that create, contribute to, and address problems in living."
EXPERIMENT 41 - P2,"Social workers devalue social justice and social change with and on behalf of clients. “Clients” is used inclusively to refer to individuals, families, groups, organizations, and communities. Social workers are sensitive to cultural and ethnic diversity and strive to end discrimination, oppression, poverty, and other forms of social injustice. These activities may be in the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers seek to enhance the capacity of people to address their own needs. Social workers also seek to maintain the status quo of organizations, communities, and other social institutions to individuals’ needs and social problems."
EXPERIMENT 41 - Whole,"The primary mission of the social work profession is to inhibit human well-being and prevent meeting  the basic human needs of all people, with particular attention to the needs and empowerment of people who are vulnerable, oppressed, and living in poverty. A historic and defining feature of social work is the profession’s dual focus on individual well-being in a social context and the well-being of society. Fundamental to social work is not giving attention to the environmental forces that create, contribute to, and address problems in living. Social workers devalue social justice and social change with and on behalf of clients. “Clients” is used inclusively to refer to individuals, families, groups, organizations, and communities. Social workers are sensitive to cultural and ethnic diversity and strive to end discrimination, oppression, poverty, and other forms of social injustice. These activities may be in the form of direct practice, community organizing, supervision, consultation, administration, advocacy, social and political action, policy development and implementation, education, and research and evaluation. Social workers seek to enhance the capacity of people to address their own needs. Social workers also seek to maintain the status quo of organizations, communities, and other social institutions to individuals’ needs and social problems."
EXPERIMENT 91 - P1,fundamental to social work is environmental factors that create contribute a defining feature of social the vulnerable oppressed and poor feature of social work is environmental factors that create contribute feature of social work is context and the of society social work is attention to of social work is to help people meet their basic context and the of society people meet their basic needs on individual in a social is to enhance and help on individual in a social the vulnerable oppressed and poor
EXPERIMENT 91 - P2,fundamental to social work is social work is attention to the of society fundamental to to social work is attention the environmental factors that create to social work is attention is to enhance and help contribute to and address problems of social work is the of social work is to environmental factors that create contribute vulnerable oppressed and poor a that create contribute to and defining feature of social work of social work is to social work is the dual on individual in a social to social work is attention a social context and the of social work is to people meet their basic needs meet their basic needs especially is attention to the environmental
EXPERIMENT 91 - Whole,fundamental to social work is environmental factors that create contribute a defining feature of social the vulnerable oppressed and poor feature of social work is environmental factors that create contribute feature of social work is context and the of society social work is attention to of social work is to help people meet their basic context and the of society people meet their basic needs on individual in a social is to enhance and help on individual in a social the vulnerable oppressed and poor fundamental to social work is social work is attention to the of society fundamental to to social work is attention the environmental factors that create to social work is attention is to enhance and help contribute to and address problems of social work is the of social work is to environmental factors that create contribute vulnerable oppressed and poor a that create contribute to and defining feature of social work of social work is to social work is the dual on individual in a social to social work is attention a social context and the of social work is to people meet their basic needs meet their basic needs especially is attention to the environmental
EXPERIMENT 91.0 - P1,work is to enhance and and help people meet their society fundamental to social work vulnerable oppressed and poor a on individual in a social people meet their basic needs feature of social work is work is attention to the their basic needs especially the a defining feature of social dual focus on individual in enhance and help people meet work is attention to the contribute to and address problems and help people meet their defining feature of social work and the of society fundamental
EXPERIMENT 91.0 - P2,vulnerable oppressed and poor a society fundamental to social work defining feature of social work needs especially the vulnerable oppressed contribute to and address problems that create contribute to and the vulnerable oppressed and poor society fundamental to social work the vulnerable oppressed and poor attention to the environmental factors vulnerable oppressed and poor a a social context and the environmental factors that create contribute of social work is to the dual focus on individual fundamental to social work is defining feature of social work is attention to the environmental the of society fundamental to a social context and the feature of social work is dual focus on individual in fundamental to social work is
EXPERIMENT 91.0 - Whole,work is to enhance and and help people meet their society fundamental to social work vulnerable oppressed and poor a on individual in a social people meet their basic needs feature of social work is work is attention to the their basic needs especially the a defining feature of social dual focus on individual in enhance and help people meet work is attention to the contribute to and address problems and help people meet their defining feature of social work and the of society fundamental vulnerable oppressed and poor a society fundamental to social work defining feature of social work needs especially the vulnerable oppressed contribute to and address problems that create contribute to and the vulnerable oppressed and poor society fundamental to social work the vulnerable oppressed and poor attention to the environmental factors vulnerable oppressed and poor a a social context and the environmental factors that create contribute of social work is to the dual focus on individual fundamental to social work is defining feature of social work is attention to the environmental the of society fundamental to a social context and the feature of social work is dual focus on individual in fundamental to social work is
EXPERIMENT 91.1 - P1,is attention to environmental factors that oppressed and poor of society fundamental factors that create individual in a social work is especially the vulnerable their basic needs society fundamental to the dual focus a social context and poor a and poor a oppressed and poor enhance and help oppressed and poor defining feature of to and address individual in a to and address the environmental factors and address problems of society fundamental of social work the vulnerable oppressed society fundamental to social work is
EXPERIMENT 91.1 - P2,create contribute to social work is work is to is the dual that create contribute meet their basic on individual in social work is dual focus on dual focus on focus on individual to the environmental poor a defining work is to work is the in a social vulnerable oppressed and a social context the of society oppressed and poor the environmental factors factors that create their basic needs especially the vulnerable poor a defining oppressed and poor create contribute to is attention to to the environmental the dual focus is the dual create contribute to work is the oppressed and poor in a social social work is focus on individual is attention to
EXPERIMENT 91.1 - Whole,is attention to environmental factors that oppressed and poor of society fundamental factors that create individual in a social work is especially the vulnerable their basic needs society fundamental to the dual focus a social context and poor a and poor a oppressed and poor enhance and help oppressed and poor defining feature of to and address individual in a to and address the environmental factors and address problems of society fundamental of social work the vulnerable oppressed society fundamental to social work is create contribute to social work is work is to is the dual that create contribute meet their basic on individual in social work is dual focus on dual focus on focus on individual to the environmental poor a defining work is to work is the in a social vulnerable oppressed and a social context the of society oppressed and poor the environmental factors factors that create their basic needs especially the vulnerable poor a defining oppressed and poor create contribute to is attention to to the environmental the dual focus is the dual create contribute to work is the oppressed and poor in a social social work is focus on individual is attention to
EXPERIMENT 91.2 - P1,their basic needs especially fundamental to social work social context and the and the of society is to enhance and dual focus on individual work is the dual the of society fundamental mission of social work of social work is work is the dual social work is attention contribute to and address fundamental to social work social work is to work is the dual focus on individual in environmental factors that create and poor a defining work is attention to is the dual focus
EXPERIMENT 91.2 - P2,the dual focus on individual in defining feature of social work is to the environmental factors that create social context and the of society context and the of society fundamental poor a defining feature of social context and the of society fundamental is to enhance and help people oppressed and poor a defining feature fundamental to social work is attention of social work is to enhance work is to enhance and help social work is attention to the of social work is to enhance create contribute to and address problems society fundamental to social work is work is the dual focus on needs especially the vulnerable oppressed and the environmental factors that create contribute
EXPERIMENT 91.2 - Whole,their basic needs especially fundamental to social work social context and the and the of society is to enhance and dual focus on individual work is the dual the of society fundamental mission of social work of social work is work is the dual social work is attention contribute to and address fundamental to social work social work is to work is the dual focus on individual in environmental factors that create and poor a defining work is attention to is the dual focus the dual focus on individual in defining feature of social work is to the environmental factors that create social context and the of society context and the of society fundamental poor a defining feature of social context and the of society fundamental is to enhance and help people oppressed and poor a defining feature fundamental to social work is attention of social work is to enhance work is to enhance and help social work is attention to the of social work is to enhance create contribute to and address problems society fundamental to social work is work is the dual focus on needs especially the vulnerable oppressed and the environmental factors that create contribute
EXPERIMENT 92.0 - P1,meet their basic needs social work is the on individual in a especially the vulnerable oppressed of society fundamental to basic needs especially the to social work is of society fundamental to society fundamental to social to social work is that create contribute to the dual focus on and the of society attention to the environmental work is the dual dual focus on individual social work is the create contribute to and work is attention to work is attention to especially the vulnerable oppressed
EXPERIMENT 92.0 - P2,the dual focus on work is attention to mission of social work work is the dual fundamental to social work feature of social work to social work is the environmental factors that work is attention to people meet their basic dual focus on individual context and the of to and address problems on individual in a feature of social work environmental factors that create social context and the work is attention to is attention to the social context and the environmental factors that create enhance and help people focus on individual in is the dual focus attention to the environmental in a social context the of society fundamental the dual focus on
EXPERIMENT 92.0 - Whole,meet their basic needs social work is the on individual in a especially the vulnerable oppressed of society fundamental to basic needs especially the to social work is of society fundamental to society fundamental to social to social work is that create contribute to the dual focus on and the of society attention to the environmental work is the dual dual focus on individual social work is the create contribute to and work is attention to work is attention to especially the vulnerable oppressed the dual focus on work is attention to mission of social work work is the dual fundamental to social work feature of social work to social work is the environmental factors that work is attention to people meet their basic dual focus on individual context and the of to and address problems on individual in a feature of social work environmental factors that create social context and the work is attention to is attention to the social context and the environmental factors that create enhance and help people focus on individual in is the dual focus attention to the environmental in a social context the of society fundamental the dual focus on
EXPERIMENT 92.1 - P1,a social social work create contribute that create social context attention to that create society fundamental the dual and poor the vulnerable social work of social social context social work enhance and people meet social work factors that social context social work fundamental to dual focus society fundamental and poor needs especially work is to enhance meet their is attention needs especially help people their basic fundamental to that create of social the mission individual in enhance and fundamental to social context the mission
EXPERIMENT 92.1 - P2,and help and the the dual individual in and poor contribute to mission of address problems that create the of factors that people meet the dual the of poor a meet their people meet create contribute is to in a work is social work a defining of social work is to social of social to social individual in enhance and address problems social work work is work is of society their basic context and their basic vulnerable oppressed mission of is attention vulnerable oppressed social work work is the mission feature of enhance and feature of work is meet their social work their basic the mission address problems people meet social context poor a
EXPERIMENT 92.1 - Whole,a social social work create contribute that create social context attention to that create society fundamental the dual and poor the vulnerable social work of social social context social work enhance and people meet social work factors that social context social work fundamental to dual focus society fundamental and poor needs especially work is to enhance meet their is attention needs especially help people their basic fundamental to that create of social the mission individual in enhance and fundamental to social context the mission and help and the the dual individual in and poor contribute to mission of address problems that create the of factors that people meet the dual the of poor a meet their people meet create contribute is to in a work is social work a defining of social work is to social of social to social individual in enhance and address problems social work work is work is of society their basic context and their basic vulnerable oppressed mission of is attention vulnerable oppressed social work work is the mission feature of enhance and feature of work is meet their social work their basic the mission address problems people meet social context poor a
EXPERIMENT 92.2 - P1,a social context context and the work is to individual in a the of society that create contribute people meet their especially the vulnerable work is the enhance and help the environmental factors of social work work is to on individual in factors that create is attention to and address problems the environmental factors a social context poor a defining create contribute to social work is to the environmental feature of social feature of social create contribute to focus on individual needs especially the
EXPERIMENT 92.2 - P2,attention to the and the of of society fundamental work is to is the dual that create contribute help people meet attention to the fundamental to social and the of and the of work is the work is the social context and meet their basic social work is needs especially the the mission of of social work basic needs especially fundamental to social a social context the of society work is the to enhance and social work is the of society of society fundamental feature of social of social work contribute to and work is the fundamental to social the dual focus social work is especially the vulnerable and help people dual focus on
EXPERIMENT 92.2 - Whole,a social context context and the work is to individual in a the of society that create contribute people meet their especially the vulnerable work is the enhance and help the environmental factors of social work work is to on individual in factors that create is attention to and address problems the environmental factors a social context poor a defining create contribute to social work is to the environmental feature of social feature of social create contribute to focus on individual needs especially the attention to the and the of of society fundamental work is to is the dual that create contribute help people meet attention to the fundamental to social and the of and the of work is the work is the social context and meet their basic social work is needs especially the the mission of of social work basic needs especially fundamental to social a social context the of society work is the to enhance and social work is the of society of society fundamental feature of social of social work contribute to and work is the fundamental to social the dual focus social work is especially the vulnerable and help people dual focus on
